5M	4310
10M	8796
15M	10587
20M	15044
25M	18566
30M	20989
35M	23354
40M	26993
45M	31316
50M	34905
55M	38864
60M	42820
65M	47529
70M	49861
75M	52503
80M	66765
85M	63805
90M	61508
95M	67401
100M	68523
5M	3823
10M	7254
15M	10181
20M	13560
25M	16875
30M	21523
35M	24262
40M	26935
45M	30143
50M	33837
55M	40144
60M	39663
65M	42388
70M	48161
75M	48952
80M	52831
85M	56395
90M	59534
95M	63704
100M	73164
5M	15295
10M	17939
15M	30250
20M	37085
25M	44677
30M	55785
35M	67724
40M	70139
45M	83324
50M	82805
55M	109333
60M	103846
65M	114277
70M	127922
75M	132585
80M	138369
85M	145392
90M	156756
95M	164332
100M	203000
5M	9823
10M	19779
15M	26421
20M	37844
25M	47350
30M	51160
35M	65096
40M	72421
45M	83142
50M	95868
55M	105250
60M	104791
65M	127671
70M	120551
75M	126165
80M	147619
85M	155142
90M	151128
95M	164343
100M	168686
5M	6864
10M	17591
15M	25590
20M	38143
25M	42626
30M	50064
35M	58534
40M	70509
45M	80070
50M	86577
55M	96304
60M	103493
65M	114260
70M	119124
75M	133099
80M	138618
85M	142606
90M	165987
95M	158827
100M	175396
5M	6720
10M	15791
15M	23952
20M	32122
25M	67117
30M	51218
35M	56217
40M	68862
45M	76489
50M	100590
55M	98279
60M	101383
65M	116994
70M	120689
75M	134981
80M	134137
85M	152909
90M	161300
95M	174474
100M	166852
